adjret,block
-.0199,1
-.0054,1
.0007,1
-.0068,1
-.0199,1
-.0236,1
.0074,1
.007,1
-.0328,1
.0101,1
-.0395,1
-.0025,1
-.0197,1
.0046,1
-.0192,1
.017,1
.0055,1
.0673,1
.0018,1
.2944,1
-.0109,1
.0077,1
-.0098,1
-.0202,1
.0534,1
-.0043,1
-.008,1
-.0434,1
-.0143,1
-.003,1
-.0225,1
.0073,1
.0212,1
-.0071,1
-.0115,1
-.0195,1
-.0026,1
.004,1
-.0109,1
-.0597,1
.0546,1
-.0095,1
-.0001,1
.0143,1
.0073,1
-.0043,1
-.01,1
-.0073,1
-.0057,1
.0278,1
.0076,1
-.0155,1
-.0098,1
-.0154,1
.0046,1
-.0196,1
.0086,1
.0204,1
-.0133,1
-.0276,1
.0077,1
-.0082,1
.0694,1
.01,1
-.012,1
-.0395,1
-.0248,1
.0102,1
-.0196,1
-.0283,1
.003,1
-.0195,1
-.0089,1
.0522,1
-.0276,1
.0366,1
-.0026,1
.0392,1
-.0117,1
-.0374,1
-.0019,1
-.0064,1
.0067,1
.013,1
-.0413,1
-.0029,1
-.0216,1
-.0164,1
.0107,1
-.0011,1
.0117,1
-.0656,1
.0054,1
.005,1
-.0607,1
-.0424,1
-.0039,1
.1287,1
-.0035,1
.019,1
.0865,2
-.0457,2
-.0991,2
-.0208,2
-.037,2
.032,2
-.0092,2
.0057,2
.0197,2
.006,2
-.077,2
.003,2
-.0156,2
.0862,2
.0569,2
-.0289,2
.0131,2
.0192,2
-.0378,2
-.0523,2
.0072,2
-.0135,2
.0128,2
.0577,2
.0582,2
-.0001,2
-.078,2
-.04,2
-.0476,2
-.0147,2
-.037,2
.0059,2
.022,2
-.0355,2
.1085,2
-.0289,2
.0036,2
-.0425,2
-.0038,2
.1206,2
.0437,2
.0591,2
-.0562,2
.0017,2
.0102,2
-.0157,2
-.0194,2
-.0337,2
.0059,2
-.0261,2
-.0204,2
.0508,2
-.0045,2
-.0041,2
-.0354,2
.0735,2
-.0346,2
-.0418,2
-.0792,2
.0093,2
.0522,2
.0466,2
.0025,2
.0201,2
-.0464,2
.0056,2
.0112,2
.0075,2
.0787,2
.0539,2
-.0127,2
.0192,2
-.0211,2
-.0069,2
.0005,2
-.0087,2
-.0508,2
.0727,2
.0215,2
-.0422,2
-.0013,2
-.0081,2
-.0199,2
.052,2
.0374,2
-.0356,2
-.0322,2
.0097,2
.0703,2
.0203,2
